longitude,latitude,Plant_Code,Plant_Name,Utility_Name,City,County,StateName,PrimSource,Install_MW,Total_MW
-160.497222,55.339722,1,Sand Point,"TDX Sand Point Generating, LLC",Sand Point,Aleutians East,Alaska,other,4,1.8
-87.356823,33.458665,2,Bankhead Dam,Alabama Power Co,Northport,Tuscaloosa,Alabama,hydroelectric,53.9,53
-88.0103,31.0069,3,Barry,Alabama Power Co,Bucks,Mobile,Alabama,natural gas,2569.5,2399.7
-86.283056,32.583889,4,Walter Bouldin Dam,Alabama Power Co,Wetumpka,Elmore,Alabama,hydroelectric,225,224.1
-85.9708,34.0128,7,Gadsden,Alabama Power Co,Gadsden,Etowah,Alabama,natural gas,138,130
-106.375,31.7569,9,Copper,El Paso Electric Co,El Paso,El Paso,Texas,natural gas,86.9,63
-87.7811,32.6017,10,Greene County,Alabama Power Co,Demopolis,Greene,Alabama,natural gas,1288.4,1256.1
-86.0524,33.7845,11,H Neely Henry Dam,Alabama Power Co,Ohatchee,Calhoun,Alabama,hydroelectric,72.9,71.1
-87.4495,33.2553,12,Holt Dam,Alabama Power Co,Tuscaloosa,Tuscaloosa,Alabama,hydroelectric,46.9,48
-86.2548,32.6189,13,Jordan Dam,Alabama Power Co,Wetumpka,Elmore,Alabama,hydroelectric,100,129.2
-86.337547,33.425878,14,Logan Martin Dam,Alabama Power Co,Vincent,Talladega,Alabama,hydroelectric,128.1,129
-86.5187,32.9633,15,Lay Dam,Alabama Power Co,Clanton,Chilton,Alabama,hydroelectric,177,180
-85.911442,32.680394,16,Martin Dam,Alabama Power Co,Dadeville,Elmore,Alabama,hydroelectric,210.6,182.1
-86.444892,32.806025,17,Mitchell Dam,Alabama Power Co,Verbena,Coosa,Alabama,hydroelectric,170,163.1
-87.1077,33.9406,18,Lewis Smith Dam,Alabama Power Co,Jasper,Walker,Alabama,hydroelectric,181,178
-85.887614,32.535436,19,Thurlow Dam,Alabama Power Co,Tallassee,Elmore,Alabama,hydroelectric,91,79.9
